timestamp,iso_time,temp_c,humidity_pct,dewpoint_c
1777962557,2026-05-05T08:29:17,26.50,34.90,9.75
1777962558,2026-05-05T08:29:17,26.50,34.90,9.75
1777962563,2026-05-05T08:29:23,26.50,34.80,9.70
1777962564,2026-05-05T08:29:23,26.50,34.80,9.70
1777962569,2026-05-05T08:29:29,26.50,34.80,9.70
1777962570,2026-05-05T08:29:29,26.50,34.80,9.70
1777962575,2026-05-05T08:29:35,26.50,34.90,9.75
1777962576,2026-05-05T08:29:35,26.50,34.90,9.75
1777962581,2026-05-05T08:29:41,26.50,35.00,9.79
1777962582,2026-05-05T08:29:41,26.50,35.00,9.79
1777962587,2026-05-05T08:29:47,26.50,46.90,14.24
1777962588,2026-05-05T08:29:47,26.50,46.90,14.24
1777962593,2026-05-05T08:29:53,26.60,50.30,15.41
1777962594,2026-05-05T08:29:53,26.60,50.30,15.41
1777962597,2026-05-05T08:29:56,26.60,46.50,14.19
1777962600,2026-05-05T08:29:59,26.60,41.50,12.45
1777962603,2026-05-05T08:30:02,26.60,39.00,11.50
1777962606,2026-05-05T08:30:05,26.60,37.40,10.87
1777962611,2026-05-05T08:30:11,26.60,35.50,10.09
1777962612,2026-05-05T08:30:11,26.60,35.50,10.09
1777963278,2026-05-05T08:41:17,26.60,35.30,10.00,0
1777963283,2026-05-05T08:41:23,26.20,34.60,9.35,0
1777963284,2026-05-05T08:41:23,26.20,34.60,9.35,0
1777963287,2026-05-05T08:41:26,26.30,34.60,9.44,0
1777963292,2026-05-05T08:41:32,26.30,34.90,9.57,0
1777963293,2026-05-05T08:41:32,26.30,34.90,9.57,0
1777963296,2026-05-05T08:41:35,26.30,34.90,9.57,0
1777963299,2026-05-05T08:41:38,26.40,49.70,15.04,0
1777963302,2026-05-05T08:41:41,26.40,54.50,16.49,0
1777963307,2026-05-05T08:41:47,26.40,46.80,14.11,0
1777963308,2026-05-05T08:41:47,26.40,46.80,14.11,0
1777963376,2026-05-05T08:42:56,26.50,34.80,9.70,0
1777963377,2026-05-05T08:42:57,26.50,34.80,9.70,0
1777963380,2026-05-05T08:43:00,26.50,34.90,9.75,0
1777963461,2026-05-05T08:44:21,26.50,34.80,9.70,0
1777963709,2026-05-05T08:48:29,26.60,39.60,11.74,0
1777963712,2026-05-05T08:48:32,26.80,38.10,11.33,0
1777963715,2026-05-05T08:48:35,26.80,37.00,10.89,0
1777963718,2026-05-05T08:48:38,26.80,36.10,10.52,0
1777963721,2026-05-05T08:48:41,26.90,43.20,13.33,0
1777963724,2026-05-05T08:48:44,26.90,45.90,14.27,0
1777963727,2026-05-05T08:48:47,26.90,44.20,13.68,0
1777963730,2026-05-05T08:48:50,26.90,41.90,12.86,0
1777963836,2026-05-05T08:50:35,26.80,35.70,10.35,0
1777963837,2026-05-05T08:50:36,26.80,35.70,10.35,0
1777963842,2026-05-05T08:50:41,26.80,34.80,9.97,0
1777963843,2026-05-05T08:50:42,26.80,34.80,9.97,0
1777963848,2026-05-05T08:50:47,26.90,52.60,16.39,0
1777963849,2026-05-05T08:50:48,26.90,52.60,16.39,0
1777963854,2026-05-05T08:50:53,27.00,58.30,18.11,1
1777963855,2026-05-05T08:50:54,27.00,58.30,18.11,1
1777963860,2026-05-05T08:50:59,27.00,45.90,14.36,1
1777963861,2026-05-05T08:51:00,27.00,45.90,14.36,1
1777963866,2026-05-05T08:51:05,27.10,45.40,14.28,1
