timestamp,iso_time,t_int,h_int,td_int,t_ext,h_ext,td_ext,fan_on
1778565458,2026-05-12T07:57:37,27.20,34.50,10.19,26.90,36.50,10.77,0
1778565463,2026-05-12T07:57:42,26.00,33.60,8.74,25.40,36.00,9.24,0
1778565468,2026-05-12T07:57:48,26.00,33.30,8.61,25.40,35.50,9.03,0
1778565473,2026-05-12T07:57:52,26.00,33.50,8.70,25.40,35.50,9.03,0
1778565477,2026-05-12T07:57:57,25.90,33.80,8.74,25.30,35.80,9.07,0
1778565477,2026-05-12T07:57:57,25.90,33.70,8.70,25.30,35.80,9.07,0
1778565485,2026-05-12T07:58:04,25.90,33.30,8.52,25.30,35.20,8.82,0
1778565485,2026-05-12T07:58:04,25.90,33.20,8.48,25.30,35.20,8.82,0
1778565492,2026-05-12T07:58:12,25.90,33.20,8.48,25.30,34.70,8.61,0
1778565492,2026-05-12T07:58:12,25.90,33.30,8.52,25.30,34.70,8.61,0
1778565495,2026-05-12T07:58:15,25.90,33.30,8.52,25.30,34.50,8.52,0
1778565503,2026-05-12T07:58:22,25.90,33.30,8.52,25.30,46.30,12.94,0
1778565507,2026-05-12T07:58:27,25.90,33.40,8.57,25.90,68.40,19.63,0
1778565512,2026-05-12T07:58:31,25.90,33.50,8.61,25.90,77.70,21.70,0
1778565512,2026-05-12T07:58:31,25.90,33.70,8.70,25.90,77.70,21.70,0
1778565515,2026-05-12T07:58:34,25.90,33.80,8.74,25.90,79.30,22.04,0
1778565520,2026-05-12T07:58:39,25.90,33.80,8.74,25.70,71.10,20.07,0
1778565525,2026-05-12T07:58:45,25.90,33.20,8.48,25.70,61.20,17.66,0
1778565525,2026-05-12T07:58:45,25.90,32.90,8.34,25.70,61.20,17.66,0
1778565530,2026-05-12T07:58:50,25.80,33.10,8.35,25.70,57.70,16.73,0
1778565531,2026-05-12T07:58:51,25.80,33.10,8.35,25.70,57.70,16.73,0
1778565534,2026-05-12T07:58:54,25.80,33.30,8.44,25.70,50.50,14.65,0
1778565539,2026-05-12T07:58:59,25.80,33.70,8.61,25.70,43.40,12.32,0
1778565545,2026-05-12T07:59:04,25.80,33.40,8.48,25.70,40.30,11.20,0
1778565547,2026-05-12T07:59:06,25.80,33.30,8.44,25.70,39.30,10.82,0
1778565548,2026-05-12T07:59:07,25.80,33.30,8.44,25.70,39.30,10.82,0
1778565551,2026-05-12T07:59:10,25.80,33.20,8.39,25.70,38.50,10.51,0
1778565554,2026-05-12T07:59:13,25.80,33.40,8.48,25.60,37.60,10.06,0
1778565561,2026-05-12T07:59:21,25.80,33.60,8.57,25.60,37.10,9.86,0
1778565561,2026-05-12T07:59:21,25.80,33.50,8.52,25.60,37.10,9.86,0
1778565569,2026-05-12T07:59:28,25.80,33.70,8.61,25.60,36.80,9.74,0
1778565569,2026-05-12T07:59:28,25.80,33.90,8.70,25.60,36.80,9.74,0
1778565572,2026-05-12T07:59:31,25.80,33.70,8.61,25.60,36.50,9.62,0
1778565578,2026-05-12T07:59:37,25.80,33.30,8.44,25.60,36.20,9.50,0
1778565578,2026-05-12T07:59:37,25.80,33.30,8.44,25.60,36.20,9.50,0
1778565581,2026-05-12T07:59:41,25.70,33.30,8.35,25.60,35.40,9.17,0
1778565587,2026-05-12T07:59:47,25.70,32.80,8.12,25.50,35.10,8.95,0
1778565587,2026-05-12T07:59:47,25.70,32.80,8.12,25.50,35.10,8.95,0
1778565590,2026-05-12T07:59:50,25.70,33.00,8.21,25.50,34.50,8.70,0
1778565593,2026-05-12T07:59:53,25.70,32.90,8.17,25.50,34.30,8.61,0
1778565596,2026-05-12T07:59:56,25.70,33.20,8.30,25.50,34.20,8.57,0
1778565604,2026-05-12T08:00:03,25.70,33.30,8.35,25.50,33.90,8.44,0
1778565604,2026-05-12T08:00:03,25.70,33.20,8.30,25.50,33.90,8.44,0
1778565612,2026-05-12T08:00:12,25.70,33.20,8.30,25.40,34.10,8.44,0
1778565615,2026-05-12T08:00:14,25.70,33.40,8.39,25.40,34.20,8.48,0
1778565615,2026-05-12T08:00:15,25.70,33.40,8.39,25.40,34.20,8.48,0
1778565621,2026-05-12T08:00:20,25.70,33.50,8.44,25.40,34.00,8.39,0
1778565621,2026-05-12T08:00:21,25.70,33.50,8.44,25.40,34.00,8.39,0
1778565624,2026-05-12T08:00:24,25.70,33.60,8.48,25.40,34.50,8.61,0
1778565627,2026-05-12T08:00:27,25.70,33.60,8.48,25.30,34.50,8.52,0
1778565637,2026-05-12T08:00:36,25.70,33.90,8.61,26.00,75.50,21.33,0
1778565637,2026-05-12T08:00:36,25.70,34.00,8.66,26.00,75.50,21.33,0
1778565640,2026-05-12T08:00:40,25.70,34.20,8.74,25.80,80.40,22.17,0
1778565643,2026-05-12T08:00:43,25.70,34.30,8.79,26.30,85.20,23.61,0
1778565646,2026-05-12T08:00:46,25.70,34.50,8.87,26.40,88.10,24.27,0
1778565653,2026-05-12T08:00:53,25.60,34.30,8.70,26.50,91.80,25.06,0
1778565658,2026-05-12T08:00:57,25.70,34.30,8.79,26.90,93.10,25.69,0
1778565658,2026-05-12T08:00:57,25.70,34.20,8.74,26.90,93.10,25.69,0
1778565663,2026-05-12T08:01:03,25.60,34.20,8.65,27.20,94.30,26.20,0
1778565666,2026-05-12T08:01:06,25.60,34.10,8.61,27.30,94.60,26.36,1
1778565667,2026-05-12T08:01:06,25.60,34.10,8.61,27.30,94.60,26.36,1
1778565670,2026-05-12T08:01:10,25.60,34.10,8.61,27.30,94.80,26.39,1
1778565677,2026-05-12T08:01:17,25.70,34.30,8.79,27.00,69.50,20.94,1
1778565677,2026-05-12T08:01:17,25.60,34.10,8.61,27.00,69.50,20.94,1
1778565681,2026-05-12T08:01:20,25.60,34.50,8.78,27.00,61.80,19.04,1
1778565686,2026-05-12T08:01:25,25.60,34.20,8.65,26.90,47.90,14.93,1
1778565691,2026-05-12T08:01:30,25.60,34.00,8.57,26.80,42.40,12.96,1
1778565691,2026-05-12T08:01:30,25.60,34.00,8.57,26.80,42.40,12.96,1
1778565694,2026-05-12T08:01:34,25.60,34.00,8.57,26.80,41.30,12.55,1
1778565701,2026-05-12T08:01:41,25.60,34.00,8.57,26.50,37.80,10.94,0
1778565701,2026-05-12T08:01:41,25.60,34.10,8.61,26.50,37.80,10.94,0
1778565705,2026-05-12T08:01:44,25.60,34.30,8.70,26.50,37.40,10.78,0
1778565710,2026-05-12T08:01:49,25.60,33.90,8.52,26.00,37.60,10.42,0
1778565715,2026-05-12T08:01:54,25.60,33.90,8.52,25.80,57.20,16.69,0
1778565719,2026-05-12T08:01:59,25.60,34.20,8.65,26.00,71.00,20.33,0
1778565719,2026-05-12T08:01:59,25.60,34.20,8.65,26.00,71.00,20.33,0
1778565728,2026-05-12T08:02:07,25.60,34.00,8.57,26.00,83.80,23.04,0
1778565728,2026-05-12T08:02:07,25.60,33.80,8.48,26.00,83.80,23.04,0
1778565735,2026-05-12T08:02:15,25.60,33.50,8.35,26.40,90.60,24.74,0
1778565740,2026-05-12T08:02:19,25.70,33.50,8.44,26.50,92.60,25.20,0
1778565744,2026-05-12T08:02:24,25.70,33.50,8.44,26.90,94.10,25.87,1
1778565749,2026-05-12T08:02:28,25.60,33.40,8.30,27.30,95.20,26.46,1
1778565751,2026-05-12T08:02:31,25.70,33.90,8.61,27.10,91.10,25.52,1
1778565752,2026-05-12T08:02:31,25.70,33.90,8.61,27.10,91.10,25.52,1
1778565755,2026-05-12T08:02:34,25.70,34.10,8.70,27.10,80.60,23.47,1
1778565762,2026-05-12T08:02:42,25.70,34.10,8.70,27.10,50.90,16.06,1
1778565767,2026-05-12T08:02:46,25.70,34.00,8.66,27.00,44.80,13.98,1
1778565767,2026-05-12T08:02:46,25.60,34.30,8.70,27.00,44.80,13.98,1
1778565774,2026-05-12T08:02:54,25.70,34.50,8.87,26.80,40.60,12.29,1
1778565774,2026-05-12T08:02:54,25.60,34.70,8.87,26.80,40.60,12.29,1
1778565777,2026-05-12T08:02:57,25.60,34.70,8.87,26.80,40.10,12.10,1
1778565780,2026-05-12T08:03:00,25.70,35.10,9.13,26.70,40.10,12.02,0
1778565786,2026-05-12T08:03:05,25.70,35.10,9.13,26.60,39.40,11.66,0
1778565786,2026-05-12T08:03:06,25.70,35.10,9.13,26.60,39.40,11.66,0
1778565789,2026-05-12T08:03:09,25.70,34.90,9.04,26.60,38.70,11.39,0
1778565792,2026-05-12T08:03:12,25.70,34.40,8.83,26.50,37.80,10.94,0
1778565795,2026-05-12T08:03:15,25.70,34.10,8.70,26.50,37.50,10.82,0
1778565801,2026-05-12T08:03:20,25.70,33.80,8.57,26.40,37.10,10.57,0
1778565801,2026-05-12T08:03:21,25.70,33.80,8.57,26.40,37.10,10.57,0
1778565808,2026-05-12T08:03:28,25.70,34.00,8.66,26.30,36.30,10.16,0
1778565809,2026-05-12T08:03:28,25.70,34.10,8.70,26.30,36.30,10.16,0
1778565816,2026-05-12T08:03:36,25.70,34.00,8.66,26.20,36.40,10.11,0
1778565821,2026-05-12T08:03:40,25.70,34.30,8.79,26.10,40.10,11.48,0
1778565821,2026-05-12T08:03:40,25.70,34.30,8.79,26.10,40.10,11.48,0
1778565826,2026-05-12T08:03:46,25.70,34.20,8.74,26.40,65.90,19.51,0
1778565831,2026-05-12T08:03:51,25.70,34.10,8.70,26.30,65.90,19.41,0
1778565836,2026-05-12T08:03:55,25.80,33.80,8.66,26.30,57.00,17.10,0
1778565838,2026-05-12T08:03:58,25.70,33.10,8.26,26.30,52.40,15.78,0
1778565839,2026-05-12T08:03:58,25.70,33.10,8.26,26.30,52.40,15.78,0
1778565845,2026-05-12T08:04:05,25.70,33.30,8.35,26.30,44.20,13.14,0
1778565845,2026-05-12T08:04:05,25.70,33.40,8.39,26.30,44.20,13.14,0
1778565848,2026-05-12T08:04:08,25.70,33.90,8.61,26.30,41.80,12.29,0
1778565858,2026-05-12T08:04:17,25.70,33.50,8.44,26.20,36.50,10.15,0
1778565858,2026-05-12T08:04:17,25.70,33.40,8.39,26.20,36.50,10.15,0
1778565865,2026-05-12T08:04:25,25.80,33.10,8.35,26.20,35.60,9.78,0
1778565870,2026-05-12T08:04:29,25.70,33.60,8.48,25.80,35.80,9.51,0
1778565870,2026-05-12T08:04:29,25.70,33.70,8.52,25.80,35.80,9.51,0
1778565877,2026-05-12T08:04:37,25.70,33.80,8.57,26.20,62.00,18.34,0
1778565882,2026-05-12T08:04:41,25.70,33.70,8.52,26.20,73.80,21.15,0
1778565886,2026-05-12T08:04:46,25.70,33.70,8.52,26.10,81.50,22.68,0
1778565886,2026-05-12T08:04:46,25.80,34.10,8.79,26.10,81.50,22.68,0
1778565889,2026-05-12T08:04:49,25.80,34.10,8.79,26.50,81.90,23.15,0
1778565895,2026-05-12T08:04:54,25.80,33.70,8.61,26.60,62.80,18.92,0
1778565895,2026-05-12T08:04:55,25.70,33.50,8.44,26.60,62.80,18.92,0
1778565903,2026-05-12T08:05:02,25.70,32.90,8.17,26.70,45.50,13.95,0
1778565907,2026-05-12T08:05:07,25.70,33.20,8.30,26.70,41.60,12.57,0
1778565910,2026-05-12T08:05:09,25.80,33.30,8.44,26.70,40.20,12.05,0
1778565910,2026-05-12T08:05:10,25.80,33.30,8.44,26.70,40.20,12.05,0
1778565916,2026-05-12T08:05:15,25.70,33.40,8.39,26.70,39.10,11.63,0
1778565916,2026-05-12T08:05:16,25.70,33.40,8.39,26.70,39.10,11.63,0
1778565924,2026-05-12T08:05:23,25.70,33.20,8.30,26.70,35.70,10.26,0
